target,model,training_labels,metric_scope,class_label,accuracy,precision,recall,f1,support,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
section,nb,real,class,world,,0.0,0.0,0.0,8,,,,,,
section,nb,llm,overall,,0.02696078431372549,,,,816,0.0016553787029889141,0.04545454545454546,0.00319125950912134,0.0010500531326950602,0.02696078431372549,0.0020201964635101215
section,nb,llm,class,africa,,0.0,0.0,0.0,9,,,,,,
section,nb,llm,class,americas,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,asia,,0.0,0.0,0.0,2,,,,,,
section,nb,llm,class,australia,,0.0,0.0,0.0,31,,,,,,
section,nb,llm,class,business,,0.0,0.0,0.0,8,,,,,,
section,nb,llm,class,business-food,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,business-money,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,cars,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,celebrities,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,china,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,economy,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,energy,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,entertainment,,0.0,0.0,0.0,11,,,,,,
section,nb,llm,class,europe,,0.0,0.0,0.0,159,,,,,,
section,nb,llm,class,football,,0.0,0.0,0.0,116,,,,,,
section,nb,llm,class,golf,,0.0,0.0,0.0,26,,,,,,
section,nb,llm,class,health,,0.0,0.0,0.0,10,,,,,,
section,nb,llm,class,homes,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,india,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,intl_world,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,investing,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,living,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,media,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,middleeast,,0.0,0.0,0.0,0,,,,,,
section,nb,llm,class,motorsport,,0.0,0.0,0.0,24,,,,,,
section,nb,llm,class,movies,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,opinions,,0.0,0.0,0.0,13,,,,,,
section,nb,llm,class,perspectives,,0.0,0.0,0.0,5,,,,,,
section,nb,llm,class,politics,,0.0,0.0,0.0,15,,,,,,
section,nb,llm,class,sport,,0.0,0.0,0.0,237,,,,,,
section,nb,llm,class,success,,0.0,0.0,0.0,3,,,,,,
section,nb,llm,class,tech,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,tennis,,0.0,0.0,0.0,33,,,,,,
section,nb,llm,class,uk,,0.0,0.0,0.0,74,,,,,,
section,nb,llm,class,us,,0.03377110694183865,0.8181818181818182,0.06486486486486487,22,,,,,,
section,nb,llm,class,weather,,0.0,0.0,0.0,1,,,,,,
section,nb,llm,class,world,,0.014234875444839857,0.5,0.02768166089965398,8,,,,,,
